company,name,model,size,freq
Gskill,G.Skill F4-2666C18S-16GRS Laptop Ram Ripjaws Series 16GB (16GBx1) DDR4 2666MHz,F4-2666C18S-16GRS ,16GB ,2666MHz
Gskill,G.Skill Ripjaws V Series 32GB (32GBx1) DDR4 2666 MHz RAM F4-2666C18S-32GVK,F4-2666C18S-32GVK,32GB ,2666 MHz 
Gskill,G.Skill F4-2666C19S-16GIS Desktop Ram Aegis Series 16GB (16GBx1) DDR4 2666MHz Black,F4-2666C19S-16GIS ,16GB ,2666MHz 
Gskill,G.Skill F4-2666C19S-16GRS Laptop Ram Ripjaws Series 16GB (16GBx1) DDR4 2666MHz,F4-2666C19S-16GRS ,16GB ,2666MHz
Gskill,G.Skill F4-2666C19S-8GRS Laptop Ram Ripjaws Series 8GB (8GBx1) DDR4 2666MHz,F4-2666C19S-8GRS ,8GB ,2666MHz
Gskill,G.Skill RipjawsV 16GB (2x8GB) RAM (F4-3000C15D-16GVRB),F4-3000C15D-16GVRB,16GB ,
Gskill,G.SKILL 16GB (8GBX2) DDR4 – 3000MHZ TRIDENT Z ROYAL SERIES RAM (F4-3000C16D-16GTRG),F4-3000C16D-16GTRG,16GB ,3000MHZ 
Gskill,G.SKILL 16GB (8GBx2) DDR4 – 3000MHZ TRIDENT Z ROYAL SERIES RAM (F4-3000C16D-16GTRS),F4-3000C16D-16GTRS,16GB ,3000MHZ 
Gskill,G.SKILL 16GB (8GBX2) 3000 MHZ DDR4 TRIDENT Z NEO RGB RAM (F4-3000C16D-16GTZN),F4-3000C16D-16GTZN,16GB ,3000 MHZ 
Gskill,G.Skill F4-3000C16D-16GTZR Desktop Ram Trident Z RGB Series 16GB (8GBx2) DDR4 3000MHz,F4-3000C16D-16GTZR ,16GB ,3000MHz
Gskill,G.SKILL 32GB (16GBX2) 3000 MHZ DDR4 TRIDENT Z NEO RGB RAM (F4-3000C16D-32GTZN),F4-3000C16D-32GTZN,32GB ,3000 MHZ 
Gskill,G.Skill F4-3000C16D-32GVRB Desktop Ram Ripjaws V Series 32GB (16GBx2) DDR4 3000MHz,F4-3000C16D-32GVRB ,32GB ,3000MHz
Gskill,G.Skill F4-3000C16S-16GISB Desktop Ram Aegis Series 16GB (16GBX1) DDR4 3000MHz,F4-3000C16S-16GISB ,16GB ,3000MHz
Gskill,G.SKILL (16GBx1) DDR4 -3000 MHZ TRIDENT-Z RGB SERIES RAM,,16GB,3000 MHZ 
Gskill,G.Skill F4-3000C16S-16GVRB Desktop Ram Ripjaws V Series 16GB (16GBX1) DDR4 3000MHz Red,F4-3000C16S-16GVRB ,16GB ,3000MHz 
Gskill,G.Skill F4-3000C16S-8GTZR Desktop Ram Trident Z RGB Series 8GB (8GBx1) DDR4 3000MHz,F4-3000C16S-8GTZR ,8GB ,3000MHz
Gskill,G.Skill F4-3000C16S-8GVRB Desktop Ram Ripjaws V Series 8GB (8GBx1) DDR4 3000MHz Red,F4-3000C16S-8GVRB ,8GB ,3000MHz 
Gskill,G.Skill Trident Z Royal Gold 32 GB (2 x 16GB) 3200 MHz DDR4 Memory F4-3200C14D-32GTRG,F4-3200C14D-32GTRG,32 GB ,3200 MHz 
Gskill,G.Skill Trident Z Series 64GB (4x16GB) 3200MHz DDR4 Memory F4-3200C14Q-64GTZSW,F4-3200C14Q-64GTZSW,64GB ,3200MHz 
Gskill,G.Skill F4-3200C16D-16GFX Desktop Ram Flare X series 16GB (8GBx2) DDR4 3200MHz Black,F4-3200C16D-16GFX ,16GB ,3200MHz 
Gskill,G.Skill Trident Z Royal Gold 16 GB (2 x 8GB) 3200 MHz DDR4 Memory F4-3200C16D-16GTRG,F4-3200C16D-16GTRG,16 GB ,3200 MHz 
Gskill,G.Skill F4-3200C16D-16GTRS Desktop Ram Trident Z Royal Series 16GB (8GBx2) DDR4 3200MHz RGB,F4-3200C16D-16GTRS ,16GB ,3200MHz 
Gskill,G.Skill F4-3200C16D-16GTZN Desktop Ram Trident Z Neo Series 16GB (8GBx2) DDR4 3200MHz RGB,F4-3200C16D-16GTZN ,16GB ,3200MHz 
Gskill,G.Skill F4-3200C16D-16GTZR Desktop Ram Trident Z RGB Series 16GB (8GBx2) DDR4 3200MHz,F4-3200C16D-16GTZR ,16GB ,3200MHz
Gskill,G.Skill RipjawsV 16GB(2x8GB) RAM (F4-3200C16D-16GVGB),F4-3200C16D-16GVGB,16GB,
Gskill,G.Skill F4-3200C16D-16GVKB Desktop Ram Ripjaws V Series 16GB (8GBx2) DDR4 3200MHz Black,F4-3200C16D-16GVKB ,16GB ,3200MHz 
Gskill,G.Skill F4-3200C16D-32GFX Desktop Ram Flare X Series 32GB (16GBx2) DDR4 3200MHz Black,F4-3200C16D-32GFX ,32GB ,3200MHz 
Gskill,G.Skill F4-3200C16D-32GTZN Desktop Ram Trident Z Neo Series 32GB (16GBx2) DDR4 3200MHz RGB,F4-3200C16D-32GTZN ,32GB ,3200MHz 
Gskill,G.Skill F4-3200C16D-32GTZR Desktop Ram Trident Z RGB Series 32GB (16GBx2) DDR4 3200MHz,F4-3200C16D-32GTZR ,32GB ,3200MHz
Gskill,G.Skill F4-3200C16D-32GVK Desktop Ram Ripjaws V Series 32GB (16GBx2) DDR4 3200MHz Black,F4-3200C16D-32GVK ,32GB ,3200MHz 
Gskill,G.SKILL F4-3200C16D-64GTZN Desktop Ram Trident Z Neo Series 64GB (32GBx2) DDR4 3200MHz RGB,F4-3200C16D-64GTZN ,64GB ,3200MHz 
Gskill,G.Skill Trident Z Series 64GB (4x16GB) 3200MHz DDR4 Memory F4-3200C16Q-64GTZ,F4-3200C16Q-64GTZ,64GB ,3200MHz 
Gskill,G.Skill F4-3200C16S-16GTZR Desktop Ram Trident Z RGB Series 16GB (16GBx1) DDR4 3200MHz,F4-3200C16S-16GTZR ,16GB ,3200MHz
